Rowid_,VALUE_,COUNT_,FAOSOIL
,252,1430,I-Po-Bd-1/2a
,253,23,Be138-2a
,254,1553,C1-3a
,255,473,De12-2ab
,256,38,U5-1bc
,257,302,Od5-1a
,258,538,Po30-1ab
,259,97,Po1-1/2b
,260,568,Od3-3b
,261,43,Rc47-1b
,262,1461,Cl1-3a
,263,595,Bd42-1/2bc
,264,379,Sm8-3a
,265,37,Je88-1a
,266,28,Be135-2ab
,267,7,Be147-2a
,268,393,I-La-Bd-1/2c
,269,999,Mg2-2ab
,270,2,La4-2b
,271,325,Mo1-3a
,272,300,Tv30-a
,273,425,Gm16-3a
,274,1303,Mo1-2ab
,275,385,Bd14-2b
,276,12,Od8-2a
,277,3635,Cl12-2ab
,278,125,Be146-2ab
,279,844,Sm12-3a
,280,400,Ox6-a
,281,41,Ws14-3a
,282,165,De11-2b
,283,530,La21-2b
,284,61,Be96-2ab
,285,668,Cl9-3a
,286,11,La1-2b
,287,276,La13-1/2a
,288,65,Tv10-2abc
,289,11,I-Bd-1/2a
,290,14,Mo2-3a
,291,472,E22-2/3b
,292,152,C2-3a
,293,1197,Lo69-2ab
,294,346,Cg6-3a
,295,524,Ph15-1a
,296,5344,Rd1-1b
,297,262,To12-ab
,298,258,Ge65-3a
,299,383,Be127-2ab
,300,50,Gm17-3a
,301,446,Po1-1a
,302,239,Cl8-3a
,303,55,La6-2a
,304,182,La22-2b
,305,61,Po11-1a
,306,365,Od2-3a
,307,1524,Po10-1/2c
,308,3048,I-Mo-2c
,309,158,Bg12-2ab
,310,198,La24-2a
,311,186,La11-2b
,312,119,Po11-2b
,313,1328,I-Po-1ab
,314,626,Sm13-3a
,315,3362,Po1-1/2ab
,316,465,La19-2b
,317,562,Lg54-1a
,318,741,I-Po-Bd-1c
,319,70,Sm7-3a
,320,34,Od26-a
,321,20,I-Mo-2bc
,322,80,Pp3-1b
,323,2657,Ch5-2a
,324,1178,Ch1-3a
,325,507,Bg6-2ab
,326,567,Be126-2/3ab
,327,181,Gh24-2b
,328,97,Ch15-3a
,329,55,Tv31-ab
,330,117,Bd75-2ab
,331,209,Ge67-2b
,332,465,Jc59-2/3a
,333,422,Od15-a
,334,61,Sm14-3a
,335,1464,Lg55-1a
,336,572,Po10-2b
,337,482,Ch17-3a
,338,503,La17-2a
,339,3497,Ch22-2a
,340,858,Ch14-3a
,341,429,De20-2ab
,342,146,Cg2-3a
,343,230,Po13-1a
,344,1240,Po2-1a
,345,50,La32-2b
,346,149,La24-3a
,347,1888,I-C-2c
,348,1034,Od3-3a
,349,109,La14-1/2b
,350,1347,Pl5-1ab
,351,44,Bd12-3a
,352,113,Kl38-2b
,353,85,Oe14-a
,354,1261,Lo73-2ab
,355,193,Gd32-2/3b
,356,521,Lg43-2ab
,357,9202,Po10-1b
,358,267,La3-2/3a
,359,43,La13-2a
,360,197,Dg5-1ab
,361,155,Qc62-1a
,362,782,Lg41-2/3ab
,363,3921,Kh1-2b
,364,38,Mo6-2a
,365,27,Ch16-3a
,366,1407,Ck1-3a
,367,183,Be144-2/3a
,368,27,Lg49-1/2ab
,369,331,Lo78-1/2a
,370,18,Pp5-2b
,371,15,Gh25-2b
,372,464,Ox4-1/2/3a
,373,243,Ck7-3a
,374,52,Ck8-3a
,375,44,Cl7-1/2a
,376,29,La20-3a
,377,149,Be139-2ab
,378,318,I-Po-1bc
