Rowid_,VALUE_,COUNT_,FAOSOIL
,1034,749,Yh8-2ac
,1035,157,I-L-2/3bc
,1036,534,Yl16-2ab
,1037,37,Hg1-1a
,1038,2661,I-K-U-2c
,1039,45,Vp72-3a
,1040,140,Bk46-2a
,1041,189,Lo24-2a
,1042,817,Jc54-2a
,1043,806,Yl3-2ac
,1044,60,I-C-c
,1045,125,Zg3-3a
,1046,121,Yk45-2b
,1047,523,La15-2c
,1048,13,I-Dd-Lo-2c
,1049,391,I-Bc-c
,1050,680,Xk4-2ab
,1051,202,Ao112-2bc
,1052,122,Lv8-2ab
,1053,1451,I-Be-c
,1054,120,Jc8-2ab
,1055,213,Yk37-1b
,1056,38,Hl26-2b
,1057,172,Ao33-2abc
,1058,1511,SALT
,1059,1006,Bd22-2bc
,1060,71,Rc49-2ab
,1061,737,Xk37-2ab
,1062,27,Lo85-2b
,1063,12,To3-2/3c
,1064,315,Hl23-2ab
,1065,353,Kl27-2a
,1066,265,Ge61-3a
,1067,40,Bd24-2a
,1068,535,I-Lc-3c
,1069,145,Kl12-2b
,1070,40,Yk46-2b
,1071,54,Ch3-2abc
,1072,144,Zg16-2/3a
,1073,250,Lc16-2abc
,1074,76,Lc109-2b
,1075,87,Re1-2b
,1076,31,Je81-a
,1077,9,Re84-1ab
,1078,124,Be86-2b
,1079,83,Yt7-1b
,1080,156,Ao41-2b
,1081,920,Xk56-2/3ab
,1082,380,Lo91-2bc
,1083,272,Bk44-3a
,1084,189,I-Dd-Lo-To-2c
,1085,580,La28-2c
,1086,6,Lc104-2/3c
,1087,455,Lc19-2bc
,1088,13,Yt1-1b
,1089,146,Po29-1b
,1090,164,Xk51-3a
,1091,187,Y6-2a
,1092,3,Jc58-2/3a
,1093,979,Lc3-2a
,1094,910,Bd9-2c
,1095,68,Xh49-2ab
,1096,106,Rc4-2abc
,1097,10,Be87-2ab
,1098,148,Ao36-1/2a
,1099,146,Jc7-2ab
,1100,23,Tv39-2b
,1101,15,Vc62-3a
,1102,25,Yk1-3a
,1103,54,I-Bh-Dd-2c
,1104,24,I-Bk-Kk-2bc
,1105,45,Po5-1a
,1106,14,Kk19-2/3b
,1107,281,Hh8-2c
,1108,164,We10-2a
,1109,164,Yl13-2abc
,1110,106,Ag4-2a
,1111,249,Xh31-3a
,1112,167,Ao1-2c
,1113,241,Xk53-2/3bc
,1114,388,Hh5-2b
,1115,709,I-Re-Yh-c
,1116,70,Lo83-2bc
,1117,43,Xk52-2/3b
,1118,488,Xk4-1b
,1119,98,Je24-2a
,1120,13,Ge41-3a
,1121,187,Kh11-2bc
,1122,169,I-Be-Lo-2c
,1123,89,Wd5-1a
,1124,60,Xl24-2bc
,1125,1294,I-Rc-Xk-c
,1126,101,Xk59-2/3a
,1127,191,Lo64-3c
,1128,161,Be115-2/3c
,1129,30,Jc60-3a
,1130,58,Yt1-2b
,1131,68,Y1-1b
,1132,111,Y14-1a
,1133,192,Kl31-1ab
,1134,111,Ao38-2a
,1135,18,Zt3-3a
,1136,304,We13-2a
,1137,500,Rc11-2bc
,1138,162,Kk16-2b
,1139,59,Lo12-2a
,1140,1063,Rc33-3bc
,1141,98,Lo11-2abc
,1142,913,Bk42-2b
,1143,371,Ao25-2abc
,1144,150,Rc14-2ab
,1145,171,Xh7-2/3ab
,1146,266,Yk7-2ab
,1147,22,I-Re-X-c
,1148,20,Ch7-2b
,1149,114,Be1-2c
,1150,148,Xl5-2ab
,1151,14,Vc60-3a
,1152,39,Lf97-2/3bc
,1153,483,Bk36-2b
,1154,6,Zg19-2/3a
,1155,337,I-Re-Yh-bc
,1156,28,Yt1-3a
,1157,1655,Ao32-2b
,1158,65,Yl7-2a
,1159,77,Lc106-2b
,1160,719,Yl4-2ab
,1161,77,Xk54-3ab
,1162,36,Xh47-2ab
,1163,189,Lc14-2b
,1164,49,Bd3-2b
,1165,156,We12-2a
,1166,26,Ao88-3b
,1167,527,I-Bd-T-2c
,1168,145,Xl2-2a
,1169,22,Re87-1bc
,1170,430,X1-2a
,1171,24,Yt5-3a
,1172,42,Hl27-2c
,1173,37,Ge34-3a
,1174,49,I-Rc-Yk-2c
,1175,3916,I-X-c
,1176,258,Xk5-3ab
,1177,51,Bd38-2b
,1178,67,Hh6-2a
,1179,19,Bk41-2b
,1180,63,Xk37-2b
,1181,14,Zg15-3a
,1182,973,Ao62-2abc
,1183,374,Af10-2b
,1184,63,Xl6-1a
,1185,323,Jc56-2a
,1186,98,Hl25-2a
,1187,306,O1-a
,1188,655,Ag3-2a
,1189,352,Lc63-3bc
,1190,1651,I-B-U-2c
,1191,436,Hl28-2a
,1192,1516,I-Gx-2c
,1193,261,Ao84-2/3b
,1194,57,Lc17-2a
,1195,9,Zt4-3a
,1196,135,Gc5-3a
,1197,6727,I-Rc-Yk-c
,1198,222,Xk55-3ab
,1199,1817,Zo21-3a
,1200,735,Ap4-2a
,1201,46,Xh34-3a
,1202,179,Je25-2a
,1203,27,Kl22-1/2abc
,1204,379,I-Be-E-c
,1205,13,Bf14-2b
,1206,625,Ao31-2ab
,1207,33,Ge48-2/3a
,1208,352,Be88-2/3b
,1209,88,Xh33-3a
,1210,959,Qc47-1a
,1211,136,Vc56-3a
,1212,83,Xh32-3ab
,1213,60,Vc14-3a
,1214,103,Rc8-2bc
,1215,236,Be22-2b
,1216,46,I-Gm-2c
,1217,148,I-Rc-X-c
,1218,31,Be69-3c
,1219,50,Yk37-2ab
,1220,768,Yk38-3a
,1221,732,Lk1-2a
,1222,12,Rc34-3b
,1223,27,Lc76-3b
,1224,10,Bd37-2b
,1225,51,Xk57-2/3b
,1226,282,Kk2-2ab
,1227,58,Re26-2b
,1228,423,Vc1-3a
,1229,152,Ao85-2/3b
,1230,70,Xh35-3a
,1231,74,So5-2a
,1232,227,Bk24-bc
,1233,14,Xh41-3b
,1234,25,Lg32-2c
,1235,425,Rc8-2ab
,1236,23,Vc50-3ab
,1237,2353,Yl5-1/2abc
,1238,287,Ao42-2c
,1239,139,Gd12-3a
,1240,233,Xk26-2/3a
,1241,12,Ge36-3a
,1242,2262,WATER
,1243,14,Xh38-3a
,1244,20,Vp44-3ab
,1245,37,Be67-3c
,1246,125,I-E-bc
,1247,604,Ge4-3a
,1248,76,Rc36-3c
,1249,73,Vc47-3b
,1250,339,Kl19-2ab
,1251,62,I-E-Xk-bc
,1252,65,Jc36-2/3a
,1253,5,So1-a
,1254,15,Be66-2/3c
,1255,391,Yh7-2ab
,1256,76,Lo25-2a
,1257,135,Bk37-2/3c
,1258,46,Xh40-3a
,1259,168,Yk37-3ab
,1260,5,Xk29-ab
,1261,8,Rc35-1a
,1262,4,K3-3a
,1263,49,La30-2bc
,1264,18,Jc18-a
,1265,555,Yh23-2ab
,1266,6,Bc6-2b
,1267,66,Lc69-3a
,1268,69,To14-2b
,1269,2,Rd4-1/2a
,1270,242,Xk9-2/3a
,1271,75,Kk4-2a
,1272,57,Lo15-2b
,1273,194,Xy4-2/3a
,1274,172,Vc23-3a
,1275,10,Vc24-3a
,1276,15,Jc1-a
,1277,129,Lc20-3bc
,1278,147,Kl20-2a
,1279,13,Jc41-2a
,1280,14,Vc48-3a
,1281,283,Ao34-2bc
,1282,131,Lo25-2b
,1283,42,Lo38-bc
,1284,16,Be68-3a
,1285,189,Bk21-2bc
,1286,31,Kl17-2abc
,1287,6,Vp8-3a
,1288,166,Xk27-2ab
,1289,2,E15-bc
,1290,272,Yl12-2a
,1291,4,Bk18-bc
,1292,62,Xy5-a
,1293,4,Bk23-2/3ab
,1294,11,X6-1/2b
,1295,7,Lo39-2/3a
,1296,14,Jc16-2/3a
,1297,97,Bc6-2ab
,1298,121,Be118-2bc
,1299,10,Lo40-ab
,1300,10,Ne52-2a
,1301,5,Jc17-3a
,1302,32,Ge17-3a
,1303,126,Xk28-b
,1304,5,So6-a
,1305,49,Xh37-3a
,1306,360,Rc38-1a
,1307,75,Bk14-2bc
,1308,112,Kl12-2abc
,1309,150,Ao40-2abc
,1310,109,Jc3-a
,1311,798,Yk31-2/3ab
,1312,822,Af9-2ab
,1313,29,Bk2-bc
,1314,2,I-Bk-c
,1315,672,Ao1-2b
,1316,26,Bk2-2bc
,1317,133,Bd39-2b
,1318,6,Lc58
,1319,32,Ao102-2c
,1320,86,Lc15-2ab
,1321,356,Lc101-2a
,1322,79,Lo21-2a
,1323,25,Xk34-2ab
,1324,17,Lc48-2a
,1325,273,Rc5-2c
,1326,41,Xk13-2b
,1327,13,Bk20-2ab
,1328,14,Kh17-2a
,1329,532,Xh12-2a
,1330,214,Xk5-2/3a
,1331,24,Jc15-2/3a
,1332,49,To15-2/3b
,1333,73,Zo25-3a
,1334,10,Lc46-2ab
,1335,53,I-Bk-bc
,1336,977,Yy10-2ab
,1337,431,Xk9-2ab
,1338,53,Xh39-3ab
,1339,133,Bk14-2c
,1340,242,I-Rc-Zo-c
,1341,354,Lk2-1a
,1342,5,Re41-2/3c
,1343,1121,I-Yk-2ab
,1344,34,Zo8-3a
,1345,16,Xk14-1/2b
,1346,300,Yy10-2/3a
,1347,576,I-B-U
,1348,8,To13-2/3b
,1349,315,Xk12-2a
,1350,8,Vp39-3b
,1351,8,Be1-b
,1352,56,Lc43-2c
,1353,15,Yk3-2ab
,1354,387,Zo9-3a
,1355,133,Be72-2c
,1356,85,Lc42-2c
,1357,63,Xk1-2ab
,1358,12,Jc3-1a
,1359,93,Zo24-3b
,1360,10,Jc19-a
,1361,95,Lc21-2a
,1362,21,Bk6-2/3a
,1363,7,Yh13-2/3a
,1364,56,Yl10-2b
,1365,81,Yk3-2a
,1366,22,Yk1-2ab
,1367,1502,Yk36-2/3a
,1368,88,Kk11-3b
,1369,66,Xh18-bc
,1370,359,Kl9-2a
,1371,33,I-Bk-E-c
,1372,13,Be65-ab
,1373,62,Xk5-1a
,1374,122,Zo7-3a
,1375,51,Yy13-a
,1376,80,Be72-2a
,1377,26,Bk35-2/3ab
,1378,4,Xh12
,1379,14,Yh23-3a
,1380,71,Yy11-2/3a
,1381,423,Ao86-3b
,1382,254,Zo22-2/3a
,1383,477,Yl9-2abc
,1384,20,Bc7-2b
,1385,13,Yh14-2a
,1386,135,Xh11-1/2a
,1387,2,Ao43-2/3b
,1388,99,Bk19-2c
,1389,20,I-E-X-2c
,1390,135,Bk2-2ab
,1391,104,Yy4-1a
,1392,483,Yk11-1/2ab
,1393,11,Vc58-3ab
,1394,25,I-Rc-1/2c
,1395,12,I-Rc-1/2bc
,1396,404,Kl14-2abc
,1397,22,Jc14-2a
,1398,75,Ao72-2b
,1399,9,Bf15-2b
,1400,311,Af7-1b
,1401,92,Yl15-2a
,1402,150,Ao35-2c
,1403,43,Vc49-3a
,1404,10,Jc20-ab
,1405,241,Jc37-2a
,1406,28,Jc13-2a
,1407,34,Lc40-1a
,1408,4,Je47-3a
,1409,24,Yk10-1/2a
,1410,21,Be117-2/3bc
,1411,34,Bk22-a
,1412,119,Yk34-b
,1413,18,Yh25-3a
,1414,133,Xk10-2a
,1415,4,Lv7-3ab
,1416,9,Lc41-1ab
,1417,2,Zg8-3a
,1418,17,Kk13-3b
,1419,519,Gc10-1a
,1420,17,E2-2ac
,1421,10,Lc46-2a
,1422,55,Be70-2/3a
,1423,120,Be73-2c
,1424,230,Yy12-a
,1425,153,Af5-2a
,1426,28,Bk14-2b
,1427,221,Be78-2c
,1428,11,Xk11-2a
,1429,222,X3-2ab
,1430,26,Lc44-3c
,1431,24,I-Be-Lc-2/3c
,1432,51,Yl10-2abc
,1433,7,Bk15-2c
,1434,71,Rc15-1/2a
,1435,531,Pg2-1a
,1436,91,Yk14-2a
,1437,291,Gm27-3a
,1438,361,X4-2a
,1439,208,Kh4-2bc
,1440,42,Bk16-2b
,1441,16,Yk3-1a
,1442,65,Yk26-1a
,1443,26,Gm28-2/3a
,1444,197,Be72-3c
,1445,27,V4-3a
,1446,6,Rc32-1ab
,1447,22,Bk33-3c
,1448,49,Rc1-1ab
,1449,1550,I-Yk-a
,1450,42,Lc18-2a
,1451,104,Yy5-1a
,1452,156,Xh42-2/3a
,1453,65,Be79-2a
,1454,70,Be71-2/3a
,1455,10,E14-2c
,1456,6,Yk12-1a
,1457,13,Yl20-3a
,1458,65,Lg17-2a
,1459,868,Ao61-2ab
,1460,39,Kk10-3a
,1461,148,Jc10-a
,1462,2,X2-2a
,1463,1604,Yl19-3ab
,1464,72,Lc33-3bc
,1465,7,Yk1-1a
,1466,367,Yk8-2a
,1467,255,Yk5-1a
,1468,1423,Yk32-a
,1469,69,Yy1-1a
,1470,50,Lc45-3bc
,1471,207,E12-2c
,1472,102,Yh9-2ab
,1473,326,Yl11-2abc
,1474,13,Kk14-2b
,1475,8,Vc42-2/3a
,1476,5,Xh30-3a
,1477,24,Xk35-3a
,1478,12,Kk12-2b
,1479,3,Kl35-3c
,1480,107,Rc40-2b
,1481,329,Gd8-1a
,1482,50,We16-2/3a
,1483,2220,Ge62-2/3a
,1484,1217,I-Af-Bd-2c
,1485,22,Bk17-2c
,1486,80,Yy9-1a
,1487,68,Yk5-2a
,1488,2892,I
,1489,225,Zo7-2/3a
,1490,56,Vc18-3a
,1491,68,Jc40-2/3a
,1492,60,Jc38-2/3a
,1493,77,Lc38-2bc
,1494,19,Lc37-1ab
,1495,198,Kh20-3a
,1496,8,V5-3b
,1497,132,Rd5-1a
,1498,17,Yk7
,1499,28,V3-3a
,1500,1129,Vp20-3a
,1501,55,Yk6-3ab
,1502,99,Hh3-2a
,1503,12,Th19-2bc
,1504,4,Bk34-3b
,1505,102,Jc3-2a
,1506,632,I-Bd-Bh-c
,1507,273,Ag2-1a
,1508,775,Ge60-2/3a
,1509,98,Lc22-2a
,1510,53,Kk9-1ab
,1511,310,Zo27-3a
,1512,112,Yk35-3a
,1513,55,Bv15-3b
,1514,47,Lc39-2c
,1515,245,Y8-b
,1516,1316,Ao18-3bc
,1517,87,Lo44-1b
,1518,135,Kl21-2a
,1519,25,Vc46-3a
,1520,471,Yl14-2ab
,1521,2248,Y1-a
,1522,587,Jc55-2ab
,1523,44,Yk13-1/2a
,1524,54,Bk13-2ab
,1525,9,I-Bc-Be
,1526,124,Gd7-2a
,1527,520,Yk30-bc
,1528,680,Yy2-1a
,1529,44,Xk15-1/2a
,1530,41,Rc1-2a
,1531,110,Jc23-2a
,1532,24,Hl37-2a
,1533,98,Xk17-2a
,1534,29,Re60-b
,1535,156,Y5-2ac
,1536,4,Je46-1a
,1537,30,Gh6-1a
,1538,78,I-Bv-Lc-2/3ab
,1539,10,Lc77-1/2b
,1540,379,Jc42-2/3a
,1541,12,Kk8-2a
,1542,76,Ap24-1a
,1543,53,Rc10
,1544,171,I-Bk-X-2c
,1545,5428,Ao13-3bc
,1546,61,Bk6-3a
,1547,10,V2-3a
,1548,2361,Yk22-1/2ab
,1549,53,Y2-1b
,1550,10,Jc39-2/3a
,1551,100,Xk25-2c
,1552,43,Lk5-3ab
,1553,550,Xk19-2a
,1554,71,Xk1-2/3a
,1555,6,K2-2b
,1556,133,Re27-1a
,1557,1090,Yh26-2/3a
,1558,33,Xk16-2a
,1559,172,Yk6-2a
,1560,285,Xk18-1b
,1561,266,Zo23-2/3a
,1562,6,Bk12-2a
,1563,14,Xk5-2b
,1564,19,Rc1
,1565,404,Bc49-3bc
,1566,12,Xk22-2/3b
,1567,117,Yk42-2a
,1568,1192,Y8-ab
,1569,2357,Qc47-1/2b
,1570,15,E17-3bc
,1571,64,Xh13
,1572,356,Af6-2a
,1573,443,Y9-1/2b
,1574,46,Re46-2c
,1575,225,Rd5-1b
,1576,22,Xk35-2/3a
,1577,91,Bk10-2b
,1578,166,Jc45-2a
,1579,3,Hl36-2a
,1580,26,Bk11-1b
,1581,20,Jc3-3a
,1582,107,Af8-2ab
,1583,6,Hl35-2a
,1584,326,Bd29-3c
,1585,523,Kh1-3ab
,1586,954,Y11-2ac
,1587,38,Re5-b
,1588,584,Bc50-2/3ab
,1589,212,I-Jc-Xk-2/3bc
,1590,119,Je61-2a
,1591,505,Rc7-2c
,1592,9,I-Xk-2b
,1593,23,Yl8-2abc
,1594,20,Yy7-2/3a
,1595,700,I-Yk-ab
,1596,40,Yk24-2/3bc
,1597,173,Yk9-2ab
,1598,357,Yk16-2a
,1599,20,Xk4-2a
,1600,607,I-Y-a
,1601,123,I-Yy-b
,1602,8,Lv2-3b
,1603,50,Jc21-2a
,1604,155,I-Yk-2/3b
,1605,285,I-Y-c
,1606,35,Jc22-2a
,1607,361,Lo5-2a
,1608,152,Re12-1bc
,1609,117,I-L-Re-2c
,1610,694,Yk21-1a
,1611,880,Yk19-1/2ab
,1612,51,Jc29-2/3a
,1613,45,Zg9-3a
,1614,206,Xl10-2ab
,1615,18,Zo2-3a
,1616,13,Xk21-3b
,1617,3999,Yk15-2a
,1618,3790,Yk25-1/2a
,1619,167,Kl7-2ab
,1620,44,I-X-Y-2c
,1621,53,Jc11-2a
,1622,364,Y1
,1623,250,Xy2-2a
,1624,7,Bk10-1ab
,1625,275,Kh21-2b
,1626,262,Jc26-2/3a
,1627,2420,Yk28-1a
,1628,5,Zo33-2/3a
,1629,21,Rc16-1b
,1630,910,Vp66-3a
,1631,2466,Qc46-1/2ab
,1632,349,Xl12-2ab
,1633,50,Y7
,1634,9,Jc27-1a
,1635,48,Y13-ab
,1636,164,I-Lc-X-2c
,1637,118,Re1-1/2a
,1638,55,Lc24-2ab
,1639,10,Xh2-3a
,1640,175,Qa9-1a
,1641,29,Re53-2b
,1642,176,Zg3-2/3a
,1643,5,Jc8-2a
,1644,67,We11-2a
,1645,80,Re12-1a
,1646,9,E11-2c
,1647,553,Kl7-2bc
,1648,24,Xk36-3a
,1649,34,Jc12-2a
,1650,436,Y10-2ab
,1651,70,Af7-1a
,1652,117,Zo28-3a
,1653,130,Lc47-2c
,1654,303,Kh23-2bc
,1655,2605,I-Y-bc
,1656,1299,Af52-3b
,1657,4,Bd40-2bc
,1658,258,Jc25-1ab
,1659,14,Jc9-2a
,1660,108,Zo2-1a
,1661,112,Zo11-2/3a
,1662,5,Zo10-2/3a
,1663,248,Lc3-3a
,1664,272,Vp22-3a
,1665,30,Xk8-1a
,1666,38,Bd35-1/2b
,1667,387,Yk20-1ab
,1668,61,Jc24-1/2a
,1669,793,Y8-a
,1670,23,Yk17
,1671,101,Vc17-3a
,1672,77,Lg19-1a
,1673,810,Rc37-3c
,1674,102,Hg3-1/3a
,1675,3896,I-Re-bc
,1676,124,Yk27-2a
,1677,534,Bd34-2bc
,1678,3504,Rc30-1ab
,1679,33,Jc10-2a
,1680,174,Rd30-2b
,1681,392,Kh22-2bc
,1682,2073,Y7-a
,1683,260,Kk5-3a
,1684,1475,Y1-b
,1685,509,Yh27-2a
,1686,22,Xk32-3a
,1687,38,Zo29-3a
,1688,235,Yh15-1a
,1689,60,Yl17-2ab
,1690,121,Lo35-2a
,1691,12,Yy3
,1692,565,Be74-2a
,1693,1247,Yk26-1ab
,1694,64,Re12-1c
,1695,17,Jc11-3a
,1696,90,Yk29-1/2a
,1697,6,Xk33-3a
,1698,4,Bc21-2a
,1699,201,Vp21-3a
,1700,19,Yk39-3a
,1701,97,Yk18-1a
,1702,116,Je75-2a
,1703,1,Rc1-1b
,1704,642,Yh9-ab
,1705,6,I-Tv
,1706,60,Jc3
,1707,216,Yh12-2ab
,1708,24,Yh9
,1709,17,I-Je
,1710,79,Jc1
,1711,534,Ao80-2bc
,1712,127,Lc23-2a
,1713,148,Yy6-1a
,1714,73,Lc24-2a
,1715,22,Lc60-2bc
,1716,1168,Y5
,1717,745,Be84-2a
,1718,118,Zo19-1/2ac
,1719,13,Be61-2a
,1720,50,Yy3-a
,1721,356,I-Xk-E-c
,1722,104,Lo28-2bc
,1723,40,Lo34-2a
,1724,18,Ao87-3b
,1725,352,Yk6-a
,1726,632,Kl30-2bc
,1727,161,Zo20-1/2a
,1728,104,Xl11-2abc
,1729,63,Xh10-2bc
,1730,202,Af48-2ab
,1731,190,I-Be-Lc-bc
,1732,97,I-Yk-1/2a
,1733,1028,Af50-3bc
,1734,6,To9-2bc
,1735,13,Yk41-2a
,1736,12,Be62-2bc
,1737,21,Rc35-1/2bc
,1738,2,Bk38-1/2b
,1739,89,Qc49-1a
,1740,398,Lo26-2bc
,1741,284,Be85-2a
,1742,8,Yt2-3a
,1743,29,Qc48-1a
,1744,201,Ao79-a
,1745,935,Ao76-2/3c
,1746,155,Be82-a
,1747,518,Xk6-2ab
,1748,1469,I-Af-3c
,1749,6,I-Z
,1750,56,Kh22-2b
,1751,1500,I-Yh-Yk-1/2b
,1752,12,Je76-2a
,1753,837,Ao89-2/3b
,1754,53,Je10-2/3a
,1755,66,Bd32-2bc
,1756,152,Gh16-2/3a
,1757,156,Re39
,1758,8,Bh18-2b
,1759,1405,Yh3-1/2a
,1760,15,Zt2-2a
,1761,212,Y10-ab
,1762,598,I-Y-b
,1763,187,Jc50-2a
,1764,36,Nd53-3bc
,1765,717,I-Y
,1766,132,Bk40-2a
,1767,157,Je77-1/2a
,1768,70,Re9-1ab
,1769,46,Ah12-2bc
,1770,18,Rd29-1a
,1771,383,Be76-2b
,1772,81,Be83-2a
,1773,4,Rd28-3a
,1774,39,Rd28-1a
,1775,551,Bh16-2/3c
,1776,61,Bk39-2a
,1777,9,Je16
,1778,3868,I-Y-ab
,1779,189,Zo18-2ab
,1780,19,Bh10-2a
,1781,87,Rc16-2a
,1782,2,Nd53-3b
,1783,458,Rc31-1/2ab
,1784,501,I-Bc-Lc
,1785,415,Kk3-2b
,1786,70,I-Rc
,1787,78,Kh18-2a
,1788,47,Nd52-2b
,1789,40,Re55-1a
,1790,173,Be81-2a
,1791,63,Ge12-1/2a
,1792,868,Lc75-2b
,1793,274,Lc5-1a
,1794,47,Be77-2/3c
,1795,269,Lc25-3b
,1796,455,Ge51-2a
,1797,106,Nd2-2b
,1798,19,Ao77-2a
,1799,19,Je38-2a
,1800,64,Ao75-2b
,1801,23,Af47-2b
,1802,191,Vp27-3a
,1803,8952,Y5-1a
,1804,3020,Vc43-3ab
,1805,161,R1
,1806,346,Af62-2/3b
,1807,28,Gc3-3a
,1808,163,Lo51-2a
,1809,12,Yh24-3a
,1810,99,Kl34-2ab
,1811,1089,I-Re
,1812,67,Af50-3c
,1813,476,Yh22-1ab
,1814,27,Rc17-3a
,1815,247,Lo49-2a
,1816,94,Ge38-2a
,1817,40,Ao74-2b
,1818,1249,Y5-a
,1819,330,I-K-E-c
,1820,11,Lo49-1ab
,1821,13,I-Yk
,1822,45,Lo27-2bc
,1823,134,Be80-2a
,1824,104,Y6
,1825,60,Y1-1a
,1826,404,Lc75-1b
,1827,53,Ao78-3c
,1828,67,Lo49-2c
,1829,46,Gm10-2a
,1830,65,Ao47-3bc
,1831,122,Ne59-2b
,1832,83,Bc25-2c
,1833,31,Ge53-3a
,1834,5,Ne59-2ab
,1835,140,Yk40-2/3a
,1836,57,Vc21-3b
,1837,437,Ge63-2/3a
,1838,367,Bd61-2c
,1839,161,Lf10-1bc
,1840,44,Gd25-2a
,1841,54,Lo49-1b
,1842,44,Y10
,1843,952,Af63-3c
,1844,64,E5-3bc
,1845,1209,Yh10-a
,1846,33,Ao41-2ab
,1847,10,Kh21-2ab
,1848,7,Ge21-2a
,1849,3,Je2-1a
,1850,42,Nd46-2ab
,1851,173,Re1
,1852,91,Zg6-2/3a
,1853,19,Re51-1a
,1854,7,Gh12-2a
,1855,199,Gc9-3a
,1856,164,Zg13-2/3a
,1857,358,Vc21-3a
,1858,119,Vp29-3b
,1859,30,Lf92-2a
,1860,36,Kk6-2ab
,1861,188,Ne56-2b
,1862,6266,Ao90-2/3c
,1863,409,Bf17-2c
,1864,17,Yk10-1a
,1865,89,E3-3bc
,1866,83,Re1-1ab
,1867,80,Lc70-1/2b
,1868,1156,Lf92-1a
,1869,7,Ne59-2a
,1870,27,Xh43-2/3a
,1871,21,Bc26-2c
,1872,98,Re20-2c
,1873,26,Lo48-2a
,1874,373,I-Lc-2bc
,1875,41,Hl31-3ab
,1876,118,Lf32-1b
,1877,492,Tv15-1bc
,1878,453,Vc13-2/3b
,1879,13,Zt1
,1880,46,Af46-1/2a
,1881,292,I-Ne
,1882,707,Bv12-3b
,1883,50,I-Be-Lc-b
,1884,77,Xh44-2a
,1885,36,Lf19-2a
,1886,184,Nd50-2b
,1887,63,Th1-2b
,1888,91,Lf10-2a
,1889,9,Lo50-2a
,1890,22,Jc43-2a
,1891,50,Ao81-2b
,1892,47,Je71-2a
,1893,134,Be75-2a
,1894,409,Yy2-2a
,1895,263,Lf32-3bc
,1896,37,Kl32-2bc
,1897,30,Od14-a
,1898,118,Vp28-3ab
,1899,123,Gh15-2/3a
,1900,269,I-Lc-Bk-c
,1901,34,Re13-2a
,1902,98,Lf96-2ab
,1903,88,Re58-2a
,1904,73,Be24-3ab
,1905,268,Lc12-2/3ab
,1906,1070,Ao107-2bc
,1907,152,Ne9-3ab
,1908,44,Jt3-2a
,1909,27,Gm11-3a
,1910,79,Ao58-2ab
,1911,84,Xk7-2a
,1912,27,Jc52-2a
,1913,7,Gm12-3a
,1914,41,Fa3-2b
,1915,59,Vp40-3a
,1916,70,Ao55-2bc
,1917,78,Ge52-3a
,1918,14,I-E-c
,1919,295,Vp34-3a
,1920,181,Od7-3a
,1921,23,Bc11-2a
,1922,63,Kl33-2bc
,1923,25,Lc30-3ab
,1924,26,I-Bv-3c
,1925,166,E7-3a
,1926,82,Jc51-2a
,1927,5,Rc1-2b
,1928,18,Gm11-2a
,1929,233,Lo31-3bc
,1930,695,Y5-ab
,1931,119,Jt10-3a
,1932,93,Lc100-c
,1933,9,Zo32-3a
,1934,123,Ne8-3b
,1935,108,Be40-3b
,1936,4,Fh11-3abc
,1937,6,I-Ah-Pg-3c
,1938,39,I-Bv-3b
,1939,390,Vc45-3a
,1940,4,Zo31-3a
,1941,2,Hh19-3abc
,1942,199,Re51-b
,1943,996,Af60-1/2ab
,1944,75,Kl15-2ab
,1945,12,Ao54-2ab
,1946,84,Be39-2ab
,1947,63,Je69-2/3a
,1948,98,Lf94-2a
,1949,2,Ah24-3ab
,1950,64,Nh8-2/3ab
,1951,242,Lc46-2b
,1952,4,I-Fh-Hh-3c
,1953,533,Ne58-1bc
,1954,65,Jc44-1/2a
,1955,2,Fr28-3ac
,1956,23,Jc30-2/3a
,1957,33,Re57-1a
,1958,3,I-Hh-1c
,1959,5,Re29-1c
,1960,43,Vp31-3a
,1961,644,Ag17-1/2ab
,1962,3,Vc55-3ab
,1963,41,I-E-Bc-a
,1964,151,Hh11-2bc
,1965,66,Lf59-2/3b
,1966,672,Y11-ab
,1967,148,Lf95-1a
,1968,340,Ge56-3a
,1969,209,Je72-2a
,1970,10,Lc3-2b
,1971,7,I-Th-1abc
,1973,342,Bc10-3a
,1974,14,Re22-1ab
,1975,285,Ge50-2/3a
,1976,10,Jt2-2a
,1977,7,Hh18-2/3ab
,1978,698,Ag16-2a
,1979,3,I-To-Ah-3bc
,1980,215,Ge55-3a
,1981,7,To23-3abc
,1982,2,I-1abc
,1983,75,Tv20-2bc
,1984,182,Lc34-2b
,1985,1,Fr29-3ab
,1986,801,Nd66-2/3b
,1987,25,Be66-2c
,1988,3,Th16-2abc
,1989,131,Tv16-2bc
,1990,113,Jt13-3a
,1991,61,Vp38-3a
,1992,29,Tv21-2a
,1993,66,Re83-1ab
,1994,26,Yh2-a
,1995,80,Tv26-2bc
,1996,134,Lc11-3ab
,1997,28,Vp30-3a
,1998,132,Be36-3bc
,1999,51,To26-2bc
,2000,236,Vp37-2ab
,2001,423,Nd55-2/3b
,2002,986,Lc76-2b
,2003,48,Be34-3bc
,2004,15,Lc27-3bc
,2005,560,I-Re-a
,2006,118,Lg39-3ab
