Latitude,Longitude,MAT,MAP
49.25,76.25,1.54,261.66
70.25,-78.25,-12.92,219.46
64.25,56.25,-2.69,599.45
70.25,78.25,-10.71,355.26
-70.25,78.25,-20.91,151.22
-69.25,40.75,-18.05,643.49
60.25,43.25,2.05,594.9
26.25,48.25,25.58,71.97
-89.25,-81.75,-48.15,8.67
-77.25,74.75,-47.1,45.49
-89.25,81.75,-49.61,7.64
-29.25,-51.75,17.77,1625.86
29.25,51.75,22.18,255.1
47.75,-52.75,5.18,1401.27
47.75,52.75,9.08,155.81
24.75,75.25,26.06,743.92
-20.25,144.75,22.56,569.83
-72.75,-8.75,-24.51,471.66
-72.75,8.75,-29.35,364.31
2.25,19.25,24.88,1592.71
-2.25,19.25,25.24,1806.45
23.25,87.75,26.14,1471.69
39.25,-75.75,12.93,1104.71
39.25,75.75,11.35,92.15
-27.25,-49.75,17.78,1692.98
9.75,27.75,27.94,785.35
-25.75,20.75,21.47,179.79
59.75,38.75,2.69,560.85
-83.25,-138.25,-22.5,106.3
-83.25,138.25,-41.1,98.42
-84.25,-27.25,-36.07,138.86
-84.25,27.25,-49.22,24.07
44.75,43.75,10.28,416.48
-84.75,-11.75,-41.14,90.02
-84.75,11.75,-46.14,36.16
-7.25,-37.75,25.35,1357.36
7.25,37.75,17.81,1293.29
-7.25,37.75,22.33,1388.3
66.75,-158.75,-4.52,312.87
61.25,-131.25,-6.32,401.47
61.25,131.25,-11.22,248.44
52.25,60.25,2.54,319.82
-78.75,-140.25,-24.25,285.96
52.25,-77.25,-2.53,664.39
52.25,77.25,2.74,275.54
-78.75,140.25,-37,124.34
59.25,-159.25,-0.09,720.82
-9.75,27.75,19.84,1127.43
1.75,13.75,24.02,1614.84
-1.75,13.75,24.34,1846.97
-86.75,-175.75,-46.53,53.53
-86.75,175.75,-47.56,51.15
35.25,8.75,17.12,387.04
51.25,-102.25,1.44,465.79
51.25,102.25,-7.86,433.91
-17.25,-57.25,25.94,1215.85
11.75,79.75,28.17,1352.99
13.25,99.25,24.14,1319.24
34.75,-109.75,12.32,249.92
34.75,109.75,14.76,700.05
-74.25,151.75,-30.98,332.32
-10.25,-48.25,27.37,1597.12
63.25,75.75,-4.32,515.42
-86.25,-176.75,-44.44,70.46
-86.25,176.75,-45.54,68.5
17.25,103.75,26.17,1610.35
-18.25,-55.75,26.01,1278.61
18.25,55.75,26.88,63.17
70.25,125.25,-13.49,321.47
-70.25,125.25,-38.13,579.88
-74.75,-11.75,-27.37,443.97
-74.75,11.75,-32.44,347.66
28.75,21.25,22.35,29.7
-28.75,21.25,19.79,177.5
50.75,-65.25,-0.19,1010.91
50.75,65.25,4.1,205.79
-16.75,141.75,27.19,943.68
12.25,-83.75,26.96,3968.78
-38.25,-63.25,14.76,649.48
38.25,63.25,16.87,157.16
41.25,-110.75,3.74,296.83
41.25,110.75,1.51,334.69
56.75,-68.25,-5.18,559.03
56.75,68.25,1.23,434.24
66.75,-126.75,-8.11,277.25
66.75,126.75,-16.62,304.56
-66.75,126.75,-14.11,618.63
-89.25,-74.75,-48.13,8.56
-89.25,74.75,-49.73,7.49
40.75,50.75,14.28,266.91
56.25,-69.75,-5.85,573.04
56.25,69.75,1,397.88
37.75,42.25,13.07,746.03
25.25,81.75,25.96,871.23
40.75,-104.75,8.77,362.23
40.75,104.75,7.79,109.33
-31.75,140.25,18.62,201.3
-72.75,24.75,-33.73,332.78
70.25,-79.75,-13.11,234.02
70.25,79.75,-10.73,366.16
-70.25,79.75,-23.18,179.03
-79.25,-143.75,-24.62,287.96
-24.25,137.25,24.18,255.93
-79.25,143.75,-34.18,157.22
49.75,60.75,4.15,183.67
-86.25,-27.75,-42.3,52.33
-86.25,27.75,-49.32,16.06
44.75,2.25,10.69,1024.78
57.75,-103.25,-3.69,509.88
10.25,32.25,27.65,643.39
-11.75,-46.75,25.55,1586.37
34.75,-118.75,13.03,313.78
34.75,118.75,14.26,888.2
64.25,-70.25,-9.12,400.34
64.25,70.25,-4.65,503.44
4.25,-65.25,16.05,3374.07
-4.25,-65.25,27.03,2581.83
66.25,14.25,0.68,1247.3
-26.75,137.75,22.71,155.59
